time (days); x ; y ; r ; f ; E ; M ; P
1 ; -20.3749 ; -4.46288 ; 20.8579 ; -2.92596 ; 172227 ; 172228 ; 27410.9
2 ; -29.2059 ; -3.35106 ; 29.3976 ; -3.02735 ; 344454 ; 344455 ; 27410.9
3 ; -33.7093 ; -1.70334 ; 33.7524 ; -3.09111 ; 516682 ; 516683 ; 27410.9
4 ; -35.007 ; 0.114216 ; 35.0071 ; 3.13833 ; 688910 ; 688910 ; 27410.9
5 ; -33.3356 ; 1.92167 ; 33.3909 ; 3.08401 ; 861138 ; 861138 ; 27410.9
6 ; -28.3844 ; 3.53056 ; 28.6032 ; 3.01784 ; 1.03337e+06 ; 1.03337e+06 ; 27410.9
7 ; -18.8286 ; 4.51629 ; 19.3626 ; 2.90618 ; 1.20559e+06 ; 1.20559e+06 ; 27410.9
8 ; -4.52446 ; -3.18064 ; 5.53057 ; -2.52886 ; 1.37782e+06 ; 1.37782e+06 ; 27410.9
9 ; -21.7965 ; -4.38206 ; 22.2326 ; -2.94319 ; 1.55005e+06 ; 1.55005e+06 ; 27410.9
10 ; -29.9637 ; -3.16424 ; 30.1303 ; -3.03638 ; 1.72228e+06 ; 1.72228e+06 ; 27410.9
11 ; -34.0346 ; -1.48255 ; 34.0669 ; -3.09806 ; 1.8945e+06 ; 1.8945e+06 ; 27410.9
12 ; -34.9618 ; 0.3425 ; 34.9634 ; 3.1318 ; 2.06673e+06 ; 2.06673e+06 ; 27410.9
13 ; -32.9122 ; 2.13714 ; 32.9815 ; 3.07675 ; 2.23896e+06 ; 2.23896e+06 ; 27410.9
14 ; -27.4957 ; 3.70169 ; 27.7438 ; 3.00777 ; 2.41119e+06 ; 2.41119e+06 ; 27410.9
15 ; -17.138 ; 4.53498 ; 17.7279 ; 2.88291 ; 2.58341e+06 ; 2.58341e+06 ; 27410.9
16 ; -7.96277 ; -3.87462 ; 8.85542 ; -2.68873 ; 2.75564e+06 ; 2.75564e+06 ; 27410.9
17 ; -23.108 ; -4.27906 ; 23.5009 ; -2.95849 ; 2.92787e+06 ; 2.92787e+06 ; 27410.9
18 ; -30.6608 ; -2.97101 ; 30.8045 ; -3.045 ; 3.1001e+06 ; 3.1001e+06 ; 27410.9
19 ; -34.3121 ; -1.25969 ; 34.3352 ; -3.1049 ; 3.27232e+06 ; 3.27232e+06 ; 27410.9
20 ; -34.8713 ; 0.57034 ; 34.8759 ; 3.12524 ; 3.44455e+06 ; 3.44455e+06 ; 27410.9
21 ; -32.438 ; 2.3493 ; 32.5229 ; 3.06929 ; 3.61678e+06 ; 3.61678e+06 ; 27410.9
22 ; -26.5357 ; 3.86321 ; 26.8154 ; 2.99702 ; 3.78901e+06 ; 3.78901e+06 ; 27410.9
23 ; -15.2762 ; 4.5081 ; 15.9275 ; 2.85463 ; 3.96124e+06 ; 3.96123e+06 ; 27410.9
24 ; -10.7252 ; -4.22309 ; 11.5266 ; -2.76648 ; 4.13346e+06 ; 4.13346e+06 ; 27410.9
25 ; -24.3208 ; -4.15773 ; 24.6736 ; -2.97228 ; 4.30569e+06 ; 4.30569e+06 ; 27410.9
