time (days); x ; y ; r ; f ; E ; M ; P
107.074 ; -0.887781 ; 1.80766 ; 2.0139 ; 2.02732 ; 0.40999 ; 0.0245437 ; 27410.9
214.147 ; -2.27373 ; 2.46581 ; 3.35411 ; 2.31569 ; 0.574871 ; 0.0490874 ; 27410.9
321.221 ; -3.44702 ; 2.87512 ; 4.48868 ; 2.44641 ; 0.686692 ; 0.0736311 ; 27410.9
428.295 ; -4.48785 ; 3.17113 ; 5.49517 ; 2.52645 ; 0.774353 ; 0.0981748 ; 27410.9
535.369 ; -5.43554 ; 3.40049 ; 6.41158 ; 2.58256 ; 0.847802 ; 0.122718 ; 27410.9
642.442 ; -6.31253 ; 3.58528 ; 7.25963 ; 2.62506 ; 0.911749 ; 0.147262 ; 27410.9
749.516 ; -7.1331 ; 3.73787 ; 8.05313 ; 2.65892 ; 0.96883 ; 0.171806 ; 27410.9
856.59 ; -7.90706 ; 3.86595 ; 8.80154 ; 2.68685 ; 1.02068 ; 0.19635 ; 27410.9
963.664 ; -8.64148 ; 3.97464 ; 9.51173 ; 2.7105 ; 1.0684 ; 0.220893 ; 27410.9
1070.74 ; -9.34169 ; 4.06756 ; 10.1888 ; 2.73093 ; 1.11276 ; 0.245437 ; 27410.9
1177.81 ; -10.0118 ; 4.14737 ; 10.8368 ; 2.74886 ; 1.15432 ; 0.269981 ; 27410.9
1284.88 ; -10.6552 ; 4.21607 ; 11.459 ; 2.76481 ; 1.19351 ; 0.294524 ; 27410.9
1391.96 ; -11.2744 ; 4.27522 ; 12.0578 ; 2.77915 ; 1.23067 ; 0.319068 ; 27410.9
1499.03 ; -11.8718 ; 4.32607 ; 12.6355 ; 2.79215 ; 1.26606 ; 0.343612 ; 27410.9
1606.11 ; -12.4492 ; 4.36962 ; 13.1938 ; 2.80403 ; 1.29989 ; 0.368155 ; 27410.9
1713.18 ; -13.0081 ; 4.40669 ; 13.7343 ; 2.81496 ; 1.33234 ; 0.392699 ; 27410.9
1820.25 ; -13.55 ; 4.43798 ; 14.2582 ; 2.82508 ; 1.36355 ; 0.417243 ; 27410.9
1927.33 ; -14.0759 ; 4.46405 ; 14.7668 ; 2.83449 ; 1.39365 ; 0.441786 ; 27410.9
2034.4 ; -14.587 ; 4.48541 ; 15.2611 ; 2.84328 ; 1.42275 ; 0.46633 ; 27410.9
2141.47 ; -15.0842 ; 4.50248 ; 15.7418 ; 2.85152 ; 1.45094 ; 0.490874 ; 27410.9
2248.55 ; -15.5682 ; 4.51563 ; 16.2099 ; 2.85928 ; 1.47828 ; 0.515418 ; 27410.9
2355.62 ; -16.0398 ; 4.52516 ; 16.6659 ; 2.86662 ; 1.50486 ; 0.539961 ; 27410.9
2462.7 ; -16.4996 ; 4.53138 ; 17.1105 ; 2.87356 ; 1.53073 ; 0.564505 ; 27410.9
2569.77 ; -16.9482 ; 4.53452 ; 17.5443 ; 2.88016 ; 1.55594 ; 0.589049 ; 27410.9
2676.84 ; -17.3861 ; 4.5348 ; 17.9678 ; 2.88645 ; 1.58055 ; 0.613592 ; 27410.9
2783.92 ; -17.8139 ; 4.53243 ; 18.3815 ; 2.89245 ; 1.60458 ; 0.638136 ; 27410.9
2890.99 ; -18.2319 ; 4.52758 ; 18.7857 ; 2.89818 ; 1.62809 ; 0.66268 ; 27410.9
2998.06 ; -18.6406 ; 4.5204 ; 19.1809 ; 2.90368 ; 1.65111 ; 0.687223 ; 27410.9
3105.14 ; -19.0403 ; 4.51105 ; 19.5674 ; 2.90896 ; 1.67366 ; 0.711767 ; 27410.9
3212.21 ; -19.4313 ; 4.49965 ; 19.9455 ; 2.91404 ; 1.69577 ; 0.736311 ; 27410.9
3319.29 ; -19.8141 ; 4.48632 ; 20.3156 ; 2.91893 ; 1.71747 ; 0.760854 ; 27410.9
3426.36 ; -20.1888 ; 4.47118 ; 20.678 ; 2.92364 ; 1.73879 ; 0.785398 ; 27410.9
3533.43 ; -20.5557 ; 4.45432 ; 21.0328 ; 2.9282 ; 1.75973 ; 0.809942 ; 27410.9
3640.51 ; -20.9151 ; 4.43583 ; 21.3804 ; 2.9326 ; 1.78033 ; 0.834486 ; 27410.9
3747.58 ; -21.2673 ; 4.41579 ; 21.7209 ; 2.93687 ; 1.80061 ; 0.859029 ; 27410.9
3854.65 ; -21.6124 ; 4.39429 ; 22.0546 ; 2.941 ; 1.82057 ; 0.883573 ; 27410.9
3961.73 ; -21.9507 ; 4.37141 ; 22.3817 ; 2.94502 ; 1.84023 ; 0.908117 ; 27410.9
4068.8 ; -22.2823 ; 4.34719 ; 22.7024 ; 2.94892 ; 1.85961 ; 0.93266 ; 27410.9
4175.88 ; -22.6074 ; 4.32171 ; 23.0168 ; 2.95271 ; 1.87872 ; 0.957204 ; 27410.9
4282.95 ; -22.9263 ; 4.29503 ; 23.3251 ; 2.9564 ; 1.89758 ; 0.981748 ; 27410.9
4390.02 ; -23.239 ; 4.2672 ; 23.6275 ; 2.95999 ; 1.91618 ; 1.00629 ; 27410.9
4497.1 ; -23.5457 ; 4.23827 ; 23.9241 ; 2.9635 ; 1.93456 ; 1.03084 ; 27410.9
4604.17 ; -23.8466 ; 4.20829 ; 24.2151 ; 2.96692 ; 1.95271 ; 1.05538 ; 27410.9
4711.24 ; -24.1418 ; 4.1773 ; 24.5005 ; 2.97026 ; 1.97065 ; 1.07992 ; 27410.9
4818.32 ; -24.4314 ; 4.14534 ; 24.7805 ; 2.97352 ; 1.98838 ; 1.10447 ; 27410.9
4925.39 ; -24.7155 ; 4.11246 ; 25.0553 ; 2.97671 ; 2.00591 ; 1.12901 ; 27410.9
5032.46 ; -24.9943 ; 4.07869 ; 25.3249 ; 2.97983 ; 2.02325 ; 1.15355 ; 27410.9
5139.54 ; -25.2679 ; 4.04407 ; 25.5895 ; 2.98289 ; 2.04041 ; 1.1781 ; 27410.9
5246.61 ; -25.5363 ; 4.00863 ; 25.849 ; 2.98589 ; 2.0574 ; 1.20264 ; 27410.9
5353.69 ; -25.7997 ; 3.97239 ; 26.1038 ; 2.98882 ; 2.07422 ; 1.22718 ; 27410.9
5460.76 ; -26.0582 ; 3.9354 ; 26.3537 ; 2.9917 ; 2.09087 ; 1.25173 ; 27410.9
5567.83 ; -26.3119 ; 3.89768 ; 26.599 ; 2.99453 ; 2.10737 ; 1.27627 ; 27410.9
5674.91 ; -26.5608 ; 3.85926 ; 26.8397 ; 2.9973 ; 2.12372 ; 1.30082 ; 27410.9
5781.98 ; -26.8051 ; 3.82016 ; 27.0759 ; 3.00003 ; 2.13993 ; 1.32536 ; 27410.9
5889.05 ; -27.0447 ; 3.7804 ; 27.3077 ; 3.00271 ; 2.156 ; 1.3499 ; 27410.9
5996.13 ; -27.2799 ; 3.74001 ; 27.535 ; 3.00534 ; 2.17193 ; 1.37445 ; 27410.9
6103.2 ; -27.5106 ; 3.69902 ; 27.7581 ; 3.00794 ; 2.18773 ; 1.39899 ; 27410.9
6210.28 ; -27.7369 ; 3.65743 ; 27.977 ; 3.01049 ; 2.20341 ; 1.42353 ; 27410.9
6317.35 ; -27.9589 ; 3.61528 ; 28.1917 ; 3.013 ; 2.21896 ; 1.44808 ; 27410.9
6424.42 ; -28.1767 ; 3.57258 ; 28.4023 ; 3.01547 ; 2.2344 ; 1.47262 ; 27410.9
6531.5 ; -28.3903 ; 3.52935 ; 28.6089 ; 3.01791 ; 2.24973 ; 1.49717 ; 27410.9
6638.57 ; -28.5998 ; 3.48561 ; 28.8114 ; 3.02032 ; 2.26494 ; 1.52171 ; 27410.9
6745.64 ; -28.8052 ; 3.44138 ; 29.0101 ; 3.02269 ; 2.28006 ; 1.54625 ; 27410.9
6852.72 ; -29.0067 ; 3.39666 ; 29.2049 ; 3.02502 ; 2.29506 ; 1.5708 ; 27410.9
6959.79 ; -29.2041 ; 3.35148 ; 29.3958 ; 3.02733 ; 2.30997 ; 1.59534 ; 27410.9
7066.87 ; -29.3977 ; 3.30585 ; 29.583 ; 3.02961 ; 2.32479 ; 1.61988 ; 27410.9
7173.94 ; -29.5874 ; 3.25979 ; 29.7664 ; 3.03186 ; 2.33951 ; 1.64443 ; 27410.9
7281.01 ; -29.7733 ; 3.21331 ; 29.9462 ; 3.03408 ; 2.35414 ; 1.66897 ; 27410.9
7388.09 ; -29.9554 ; 3.16642 ; 30.1223 ; 3.03628 ; 2.36869 ; 1.69351 ; 27410.9
7495.16 ; -30.1338 ; 3.11914 ; 30.2948 ; 3.03845 ; 2.38315 ; 1.71806 ; 27410.9
7602.23 ; -30.3085 ; 3.07148 ; 30.4637 ; 3.0406 ; 2.39753 ; 1.7426 ; 27410.9
7709.31 ; -30.4796 ; 3.02345 ; 30.6292 ; 3.04272 ; 2.41183 ; 1.76715 ; 27410.9
7816.38 ; -30.647 ; 2.97506 ; 30.7911 ; 3.04482 ; 2.42606 ; 1.79169 ; 27410.9
