Mercury Newton-Raphson:
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
0 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
3 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
2 iterations
0 iterations
