time (days); x ; y ; r ; f ; E ; M ; P
1 ; 0.194758 ; -0.270952 ; 0.333685 ; -0.94757 ; 558.414 ; 558.56 ; 88.8975
2 ; -0.049185 ; -0.380528 ; 0.383693 ; -1.69934 ; 1116.92 ; 1117.12 ; 88.8975
3 ; -0.279323 ; -0.328069 ; 0.430871 ; -2.27611 ; 1675.5 ; 1675.68 ; 88.8975
4 ; -0.42709 ; -0.173971 ; 0.461164 ; -2.75477 ; 2234.15 ; 2234.24 ; 88.8975
5 ; -0.469152 ; 0.024403 ; 0.469786 ; 3.08962 ; 2792.81 ; 2792.8 ; 88.8975
6 ; -0.400874 ; 0.216896 ; 0.45579 ; 2.64564 ; 3351.48 ; 3351.36 ; 88.8975
7 ; -0.23018 ; 0.352261 ; 0.420797 ; 2.14958 ; 3910.11 ; 3909.92 ; 88.8975
8 ; 0.0121013 ; 0.370932 ; 0.371129 ; 1.53818 ; 4468.68 ; 4468.48 ; 88.8975
9 ; 0.240513 ; 0.217549 ; 0.324305 ; 0.735308 ; 5027.15 ; 5027.04 ; 88.8975
10 ; 0.302764 ; -0.0734387 ; 0.311544 ; -0.237965 ; 5585.56 ; 5585.6 ; 88.8975
11 ; 0.14161 ; -0.314137 ; 0.34458 ; -1.14729 ; 6143.99 ; 6144.16 ; 88.8975
12 ; -0.10927 ; -0.380637 ; 0.396011 ; -1.85035 ; 6702.51 ; 6702.72 ; 88.8975
13 ; -0.323554 ; -0.298092 ; 0.439939 ; -2.39713 ; 7261.12 ; 7261.28 ; 88.8975
14 ; -0.447172 ; -0.128544 ; 0.46528 ; -2.86168 ; 7819.77 ; 7819.84 ; 88.8975
15 ; -0.462776 ; 0.0728769 ; 0.468479 ; 2.9854 ; 8378.44 ; 8378.4 ; 88.8975
16 ; -0.368696 ; 0.256589 ; 0.449193 ; 2.5336 ; 8937.09 ; 8936.96 ; 88.8975
17 ; -0.176696 ; 0.369786 ; 0.409833 ; 2.01655 ; 9495.71 ; 9495.52 ; 88.8975
18 ; 0.0730257 ; 0.351127 ; 0.35864 ; 1.36574 ; 10054.3 ; 10054.1 ; 88.8975
19 ; 0.276348 ; 0.155225 ; 0.316959 ; 0.511781 ; 10612.7 ; 10612.6 ; 88.8975
