time (days); x ; y ; r ; f ; E ; M ; P
0.347256 ; 0.309864 ; 0.0117822 ; 0.310088 ; 0.0380056 ; 0.0308713 ; 0.0245437 ; 88.8975
0.694512 ; 0.309307 ; 0.0235504 ; 0.310202 ; 0.0759925 ; 0.061735 ; 0.0490874 ; 88.8975
1.04177 ; 0.30838 ; 0.0352903 ; 0.310392 ; 0.113942 ; 0.0925836 ; 0.0736311 ; 88.8975
1.38902 ; 0.307084 ; 0.0469881 ; 0.310658 ; 0.151836 ; 0.12341 ; 0.0981748 ; 88.8975
1.73628 ; 0.305422 ; 0.0586299 ; 0.310999 ; 0.189656 ; 0.154205 ; 0.122718 ; 88.8975
2.08354 ; 0.303398 ; 0.070202 ; 0.311414 ; 0.227384 ; 0.184964 ; 0.147262 ; 88.8975
2.43079 ; 0.301014 ; 0.0816911 ; 0.311902 ; 0.265003 ; 0.215678 ; 0.171806 ; 88.8975
2.77805 ; 0.298276 ; 0.0930841 ; 0.312464 ; 0.302496 ; 0.24634 ; 0.19635 ; 88.8975
3.1253 ; 0.295189 ; 0.104368 ; 0.313096 ; 0.339845 ; 0.276944 ; 0.220893 ; 88.8975
3.47256 ; 0.291758 ; 0.11553 ; 0.3138 ; 0.377036 ; 0.307482 ; 0.245437 ; 88.8975
3.81982 ; 0.28799 ; 0.126559 ; 0.314572 ; 0.414052 ; 0.337949 ; 0.269981 ; 88.8975
4.16707 ; 0.283892 ; 0.137443 ; 0.315412 ; 0.450879 ; 0.368338 ; 0.294524 ; 88.8975
4.51433 ; 0.27947 ; 0.14817 ; 0.316319 ; 0.487502 ; 0.398642 ; 0.319068 ; 88.8975
4.86158 ; 0.274732 ; 0.15873 ; 0.31729 ; 0.523908 ; 0.428857 ; 0.343612 ; 88.8975
5.20884 ; 0.269687 ; 0.169113 ; 0.318324 ; 0.560085 ; 0.458977 ; 0.368155 ; 88.8975
5.5561 ; 0.264344 ; 0.179308 ; 0.31942 ; 0.596021 ; 0.488996 ; 0.392699 ; 88.8975
5.90335 ; 0.258711 ; 0.189306 ; 0.320575 ; 0.631705 ; 0.518909 ; 0.417243 ; 88.8975
6.25061 ; 0.252797 ; 0.199099 ; 0.321787 ; 0.667126 ; 0.548712 ; 0.441786 ; 88.8975
6.59786 ; 0.246612 ; 0.208679 ; 0.323055 ; 0.702275 ; 0.578401 ; 0.46633 ; 88.8975
6.94512 ; 0.240166 ; 0.218038 ; 0.324376 ; 0.737144 ; 0.60797 ; 0.490874 ; 88.8975
7.29238 ; 0.233468 ; 0.227168 ; 0.325749 ; 0.771723 ; 0.637418 ; 0.515418 ; 88.8975
7.63963 ; 0.226529 ; 0.236064 ; 0.327172 ; 0.806008 ; 0.666739 ; 0.539961 ; 88.8975
7.98689 ; 0.219358 ; 0.244719 ; 0.328642 ; 0.839991 ; 0.69593 ; 0.564505 ; 88.8975
8.33414 ; 0.211967 ; 0.253127 ; 0.330157 ; 0.873666 ; 0.72499 ; 0.589049 ; 88.8975
8.6814 ; 0.204366 ; 0.261284 ; 0.331715 ; 0.907029 ; 0.753914 ; 0.613592 ; 88.8975
9.02866 ; 0.196564 ; 0.269186 ; 0.333315 ; 0.940077 ; 0.782701 ; 0.638136 ; 88.8975
9.37591 ; 0.188573 ; 0.276828 ; 0.334953 ; 0.972804 ; 0.811349 ; 0.66268 ; 88.8975
9.72317 ; 0.180402 ; 0.284206 ; 0.336628 ; 1.00521 ; 0.839855 ; 0.687223 ; 88.8975
10.0704 ; 0.172063 ; 0.291319 ; 0.338337 ; 1.03729 ; 0.868219 ; 0.711767 ; 88.8975
10.4177 ; 0.163565 ; 0.298162 ; 0.34008 ; 1.06905 ; 0.896438 ; 0.736311 ; 88.8975
10.7649 ; 0.154918 ; 0.304735 ; 0.341852 ; 1.10048 ; 0.924511 ; 0.760854 ; 88.8975
11.1122 ; 0.146132 ; 0.311035 ; 0.343653 ; 1.13158 ; 0.952439 ; 0.785398 ; 88.8975
11.4594 ; 0.137218 ; 0.317062 ; 0.345481 ; 1.16235 ; 0.980219 ; 0.809942 ; 88.8975
11.8067 ; 0.128185 ; 0.322813 ; 0.347332 ; 1.1928 ; 1.00785 ; 0.834486 ; 88.8975
12.154 ; 0.119042 ; 0.32829 ; 0.349207 ; 1.22293 ; 1.03534 ; 0.859029 ; 88.8975
12.5012 ; 0.1098 ; 0.333491 ; 0.351101 ; 1.25273 ; 1.06267 ; 0.883573 ; 88.8975
12.8485 ; 0.100467 ; 0.338416 ; 0.353015 ; 1.28221 ; 1.08986 ; 0.908117 ; 88.8975
13.1957 ; 0.0910523 ; 0.343067 ; 0.354945 ; 1.31137 ; 1.1169 ; 0.93266 ; 88.8975
13.543 ; 0.0815649 ; 0.347444 ; 0.356889 ; 1.34021 ; 1.1438 ; 0.957204 ; 88.8975
13.8902 ; 0.0720134 ; 0.351547 ; 0.358848 ; 1.36874 ; 1.17055 ; 0.981748 ; 88.8975
14.2375 ; 0.0624061 ; 0.355379 ; 0.360817 ; 1.39696 ; 1.19715 ; 1.00629 ; 88.8975
14.5848 ; 0.0527514 ; 0.358941 ; 0.362796 ; 1.42488 ; 1.2236 ; 1.03084 ; 88.8975
14.932 ; 0.0430571 ; 0.362234 ; 0.364784 ; 1.45249 ; 1.24992 ; 1.05538 ; 88.8975
15.2793 ; 0.0333312 ; 0.36526 ; 0.366777 ; 1.4798 ; 1.27608 ; 1.07992 ; 88.8975
15.6265 ; 0.0235811 ; 0.368021 ; 0.368776 ; 1.50681 ; 1.30211 ; 1.10447 ; 88.8975
15.9738 ; 0.0138141 ; 0.370521 ; 0.370778 ; 1.53353 ; 1.328 ; 1.12901 ; 88.8975
16.321 ; 0.00403749 ; 0.372761 ; 0.372783 ; 1.55997 ; 1.35374 ; 1.15355 ; 88.8975
16.6683 ; -0.00574195 ; 0.374743 ; 0.374787 ; 1.58612 ; 1.37935 ; 1.1781 ; 88.8975
17.0155 ; -0.0155175 ; 0.376472 ; 0.376791 ; 1.61199 ; 1.40482 ; 1.20264 ; 88.8975
17.3628 ; -0.0252827 ; 0.377949 ; 0.378793 ; 1.63759 ; 1.43016 ; 1.22718 ; 88.8975
17.7101 ; -0.0350313 ; 0.379177 ; 0.380792 ; 1.66292 ; 1.45536 ; 1.25173 ; 88.8975
18.0573 ; -0.0447573 ; 0.38016 ; 0.382785 ; 1.68799 ; 1.48044 ; 1.27627 ; 88.8975
18.4046 ; -0.0544547 ; 0.380901 ; 0.384773 ; 1.7128 ; 1.50538 ; 1.30082 ; 88.8975
18.7518 ; -0.064118 ; 0.381403 ; 0.386754 ; 1.73735 ; 1.53019 ; 1.32536 ; 88.8975
19.0991 ; -0.0737418 ; 0.381669 ; 0.388727 ; 1.76165 ; 1.55488 ; 1.3499 ; 88.8975
19.4463 ; -0.0833207 ; 0.381703 ; 0.390691 ; 1.78571 ; 1.57944 ; 1.37445 ; 88.8975
19.7936 ; -0.0928496 ; 0.381508 ; 0.392644 ; 1.80953 ; 1.60388 ; 1.39899 ; 88.8975
20.1409 ; -0.102324 ; 0.381089 ; 0.394587 ; 1.83311 ; 1.6282 ; 1.42353 ; 88.8975
20.4881 ; -0.111738 ; 0.380447 ; 0.396517 ; 1.85647 ; 1.6524 ; 1.44808 ; 88.8975
20.8354 ; -0.121089 ; 0.379588 ; 0.398434 ; 1.87959 ; 1.67648 ; 1.47262 ; 88.8975
21.1826 ; -0.130371 ; 0.378514 ; 0.400336 ; 1.9025 ; 1.70044 ; 1.49717 ; 88.8975
21.5299 ; -0.139581 ; 0.377229 ; 0.402224 ; 1.92519 ; 1.7243 ; 1.52171 ; 88.8975
21.8771 ; -0.148714 ; 0.375737 ; 0.404097 ; 1.94767 ; 1.74804 ; 1.54625 ; 88.8975
22.2244 ; -0.157767 ; 0.374042 ; 0.405952 ; 1.96994 ; 1.77167 ; 1.5708 ; 88.8975
22.5716 ; -0.166735 ; 0.372146 ; 0.407791 ; 1.99202 ; 1.7952 ; 1.59534 ; 88.8975
22.9189 ; -0.175615 ; 0.370055 ; 0.409611 ; 2.01389 ; 1.81862 ; 1.61988 ; 88.8975
23.2662 ; -0.184404 ; 0.367771 ; 0.411413 ; 2.03557 ; 1.84194 ; 1.64443 ; 88.8975
23.6134 ; -0.193099 ; 0.365299 ; 0.413195 ; 2.05706 ; 1.86515 ; 1.66897 ; 88.8975
23.9607 ; -0.201695 ; 0.362642 ; 0.414958 ; 2.07837 ; 1.88827 ; 1.69351 ; 88.8975
24.3079 ; -0.210191 ; 0.359803 ; 0.416699 ; 2.09951 ; 1.91129 ; 1.71806 ; 88.8975
24.6552 ; -0.218583 ; 0.356786 ; 0.41842 ; 2.12046 ; 1.93421 ; 1.7426 ; 88.8975
25.0024 ; -0.226869 ; 0.353596 ; 0.420118 ; 2.14125 ; 1.95704 ; 1.76715 ; 88.8975
25.3497 ; -0.235045 ; 0.350235 ; 0.421794 ; 2.16187 ; 1.97978 ; 1.79169 ; 88.8975
25.6969 ; -0.243109 ; 0.346707 ; 0.423448 ; 2.18232 ; 2.00243 ; 1.81623 ; 88.8975
26.0442 ; -0.251059 ; 0.343016 ; 0.425077 ; 2.20262 ; 2.02499 ; 1.84078 ; 88.8975
